clientID,POS,traitName,traitWgt,metricName,metricWgt,statName,statWgt,inverse,
4,CF,DEFENDING,0.185,On Ball,0.276,pressingDuels90,0.030916667,0,
4,CF,DEFENDING,0.185,On Ball,0.276,slidingTackles90,0.005916667,0,
4,CF,DEFENDING,0.185,On Ball,0.276,successfulSlidingTackles90,0,0,
4,CF,DEFENDING,0.185,On Ball,0.276,successfulSlidingTacklesPct,0,0,
4,CF,DEFENDING,0.185,Off Ball,0.117,ballRecoveries90,0.29,0,
4,CF,DEFENDING,0.185,Off Ball,0.117,clearances90,0.177,0,
4,CF,DEFENDING,0.185,Off Ball,0.117,counterpressingRecoveries90,0.125,0,
4,CF,DEFENDING,0.185,Off Ball,0.117,dangerousOpponentHalfRecoveries90,0.101,0,
4,CF,DEFENDING,0.185,Off Ball,0.117,interceptions90,0.095,0,
4,CF,DEFENDING,0.185,Off Ball,0.117,looseBallDuels90,0.082,0,
4,CF,DEFENDING,0.185,Off Ball,0.117,looseBallDuelsWon90,0.06,0,
4,CF,DEFENDING,0.185,Off Ball,0.117,looseBallDuelsWonPct,0.031,0,
4,CF,DEFENDING,0.185,Off Ball,0.117,opponentHalfRecoveries90,0.021,0,
4,CF,DEFENDING,0.185,Off Ball,0.117,recoveries90,0.019,0,
4,CF,DEFENDING,0.185,Fouls,0.02,adjCards90,0.623,1,
4,CF,DEFENDING,0.185,Fouls,0.02,directRedCards,0,1,
4,CF,DEFENDING,0.185,Fouls,0.02,fouls90,0.276,1,
4,CF,DEFENDING,0.185,Fouls,0.02,redCards,0,1,
4,CF,DEFENDING,0.185,Fouls,0.02,yellowCards,0,1,
4,CF,DEFENDING,0.185,Fouls,0.02,yellowCardsPerFoul,0.1,1,
4,AM,SCORING,0.326,Goalscoring,0.397,goals90,0.53,0,
4,AM,SCORING,0.326,Goalscoring,0.397,goalsPassesRatio,0.47,0,
4,AM,SCORING,0.326,Goalscoring,0.397,goalsWithoutPenalties90,0,0,
4,AM,SCORING,0.326,Shooting,0.308,headShots90,0.425,0,
4,AM,SCORING,0.326,Shooting,0.308,shots90,0.168,0,
4,AM,SCORING,0.326,Shooting,0.308,shotsBlocked90,0.154,1,
4,AM,SCORING,0.326,Shooting,0.308,shotsOnTarget90,0.126,0,
4,AM,SCORING,0.326,Shooting,0.308,xgShot90,0.077,0,
4,AM,SCORING,0.326,Shooting,0.308,shotsPassesRatio,0.05,0,
4,AM,SCORING,0.326,Conversion,0.151,goalConversionPct,0.568,0,
4,AM,SCORING,0.326,Conversion,0.151,headShotsOnTargetPct,0.25,0,
4,AM,SCORING,0.326,Conversion,0.151,goalsShotsRatio,0.111,0,
4,AM,SCORING,0.326,Conversion,0.151,goalsShotsOnTargetRatio,0.071,0,
4,AM,SCORING,0.326,Positioning,0.144,passesToFinalThird90,0.301,0,
4,AM,SCORING,0.326,Positioning,0.144,progressiveRun90,0.23,0,
4,AM,SCORING,0.326,Positioning,0.144,touchInBox90,0.198,0,
4,AM,SCORING,0.326,Positioning,0.144,passesToFinalThirdRatio,0.164,0,
4,AM,SCORING,0.326,Positioning,0.144,touchInBoxReceivedPassRatio,0.107,0,
4,AM,CREATING,0.252,Assists,0.455,assists90,0.381,0,
4,AM,CREATING,0.252,Assists,0.455,secondAssists90,0.136,0,
4,AM,CREATING,0.252,Assists,0.455,shotAssists90,0.126,0,
4,AM,CREATING,0.252,Assists,0.455,shotOnTargetAssists90,0.124,0,
4,AM,CREATING,0.252,Assists,0.455,thirdAssists90,0.099,0,
4,AM,CREATING,0.252,Assists,0.455,xgAssist90,0.064,0,
4,AM,CREATING,0.252,Assists,0.455,successfulShotAssistsPct,0.037,0,
4,AM,CREATING,0.252,Assists,0.455,assistsPassesRatio,0.032,0,
4,AM,CREATING,0.252,Crossing,0.219,crosses90,0.491,0,
4,AM,CREATING,0.252,Crossing,0.219,successfulCrosses90,0.251,0,
4,AM,CREATING,0.252,Crossing,0.219,crossesPassesRatio,0.186,0,
4,AM,CREATING,0.252,Crossing,0.219,successfulCrossesPct,0.072,0,
4,AM,CREATING,0.252,Dribbling,0.165,dribbles90,0.368,0,
4,AM,CREATING,0.252,Dribbling,0.165,foulsSuffered90,0.215,0,
4,AM,CREATING,0.252,Dribbling,0.165,successfulDribbles90,0.153,0,
4,AM,CREATING,0.252,Dribbling,0.165,successfulDribblesPct,0.138,0,
4,AM,CREATING,0.252,Dribbling,0.165,dribblesPassesRatio,0.104,0,
4,AM,CREATING,0.252,Dribbling,0.165,offensiveDuelsWonPct,0.022,0,
4,AM,CREATING,0.252,Comb Play,0.16,dangerousOwnHalfLosses90,0.317,1,
4,AM,CREATING,0.252,Comb Play,0.16,linkupPlays90,0.193,0,
4,AM,CREATING,0.252,Comb Play,0.16,missedBalls90,0.169,1,
4,AM,CREATING,0.252,Comb Play,0.16,progressivePasses90,0.163,0,
4,AM,CREATING,0.252,Comb Play,0.16,smartPasses90,0.142,0,
4,AM,CREATING,0.252,Comb Play,0.16,successfulLinkupPlays90,0.018,0,
4,AM,PASSING,0.24,Involvement,0.515,passes90,0.625,0,
4,AM,PASSING,0.24,Involvement,0.515,receivedPass90,0.341,0,
4,AM,PASSING,0.24,Involvement,0.515,receivedPassRatio,0.034,0,
4,AM,PASSING,0.24,Accuracy,0.251,ballLosses90,0.226,1,
4,AM,PASSING,0.24,Accuracy,0.251,ownHalfLosses90,0.147,1,
4,AM,PASSING,0.24,Accuracy,0.251,successfulKeyPassesPct,0.126,0,
4,AM,PASSING,0.24,Accuracy,0.251,successfulLongPassesPct,0.123,0,
4,AM,PASSING,0.24,Accuracy,0.251,successfulPassesPct,0.12,0,
4,AM,PASSING,0.24,Accuracy,0.251,successfulPassesToFinalThirdPct,0.098,0,
4,AM,PASSING,0.24,Accuracy,0.251,successfulProgressivePassesPct,0.085,0,
4,AM,PASSING,0.24,Accuracy,0.251,successfulSmartPassesPct,0.074,0,
4,AM,PASSING,0.24,Accuracy,0.251,successfulThroughPassesPct,0,0,
4,AM,PASSING,0.24,Accuracy,0.251,successfulVerticalPassesPct,0,0,
4,AM,PASSING,0.24,Direction,0.139,backPassesPct,0.5,1,
4,AM,PASSING,0.24,Direction,0.139,forwardPassesPct,0.255,0,
4,AM,PASSING,0.24,Direction,0.139,lateralPassesPct,0.245,1,
4,AM,PASSING,0.24,Intent,0.095,attackingActions90,0.249,0,
4,AM,PASSING,0.24,Intent,0.095,successfulAttackingActions90,0.204,0,
4,AM,PASSING,0.24,Intent,0.095,successfulAttackingActionsPct,0.158,0,
4,AM,PASSING,0.24,Intent,0.095,keyPasses90,0.126,0,
4,AM,PASSING,0.24,Intent,0.095,keyPassesRatio,0.109,0,
4,AM,PASSING,0.24,Intent,0.095,longPassLength,0.08,0,
4,AM,PASSING,0.24,Intent,0.095,longPasses90,0.053,0,
4,AM,PASSING,0.24,Intent,0.095,throughPasses90,0.022,0,
4,AM,DEFENDING,0.183,Aerial,0.622,aerialDuels90,0.916,0,
4,AM,DEFENDING,0.183,Aerial,0.622,aerialDuelsWon90,0.084,0,
4,AM,DEFENDING,0.183,Aerial,0.622,aerialDuelsWonPct,0,0,
4,AM,DEFENDING,0.183,On Ball,0.267,defensiveActions90,0.295916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,successfulDefensiveAction90,0.145916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,successfulDefensiveActionPct,0.123916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,defensiveDuels90,0.090916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,defensiveDuelsWon90,0.079916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,defensiveDuelsWonPct,0.070916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,dribblesAgainst90,0.062916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,dribblesAgainstWon90,0.058916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,dribblesAgainstWonPct,0.036916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,pressingDuels90,0.028916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,slidingTackles90,0.004916667,0,
4,AM,DEFENDING,0.183,On Ball,0.267,successfulSlidingTackles90,0,0,
4,AM,DEFENDING,0.183,On Ball,0.267,successfulSlidingTacklesPct,0,0,
4,AM,DEFENDING,0.183,Off Ball,0.094,ballRecoveries90,0.264,0,
4,AM,DEFENDING,0.183,Off Ball,0.094,clearances90,0.173,0,
4,AM,DEFENDING,0.183,Off Ball,0.094,counterpressingRecoveries90,0.139,0,
4,AM,DEFENDING,0.183,Off Ball,0.094,dangerousOpponentHalfRecoveries90,0.1,0,
4,AM,DEFENDING,0.183,Off Ball,0.094,interceptions90,0.096,0,
4,AM,DEFENDING,0.183,Off Ball,0.094,looseBallDuels90,0.082,0,
4,AM,DEFENDING,0.183,Off Ball,0.094,looseBallDuelsWon90,0.052,0,
4,AM,DEFENDING,0.183,Off Ball,0.094,looseBallDuelsWonPct,0.047,0,
4,AM,DEFENDING,0.183,Off Ball,0.094,opponentHalfRecoveries90,0.028,0,
4,AM,DEFENDING,0.183,Off Ball,0.094,recoveries90,0.02,0,
4,AM,DEFENDING,0.183,Fouls,0.017,adjCards90,0.652,1,
4,AM,DEFENDING,0.183,Fouls,0.017,directRedCards,0,1,
4,AM,DEFENDING,0.183,Fouls,0.017,fouls90,0.255,1,
4,AM,DEFENDING,0.183,Fouls,0.017,redCards,0,1,
4,AM,DEFENDING,0.183,Fouls,0.017,yellowCards,0,1,
4,AM,DEFENDING,0.183,Fouls,0.017,yellowCardsPerFoul,0.093,1,
4,M,SCORING,0.296,Goalscoring,0.489,goals90,1,0,
4,M,SCORING,0.296,Goalscoring,0.489,goalsPassesRatio,0,0,
4,M,SCORING,0.296,Goalscoring,0.489,goalsWithoutPenalties90,0,0,
4,M,SCORING,0.296,Shooting,0.322,headShots90,0.41,0,
4,M,SCORING,0.296,Shooting,0.322,shots90,0.187,0,
4,M,SCORING,0.296,Shooting,0.322,shotsBlocked90,0.166,1,
4,M,SCORING,0.296,Shooting,0.322,shotsOnTarget90,0.1,0,
4,M,SCORING,0.296,Shooting,0.322,xgShot90,0.074,0,
4,M,SCORING,0.296,Shooting,0.322,shotsPassesRatio,0.063,0,
4,M,SCORING,0.296,Conversion,0.189,goalConversionPct,0.614,0,
4,M,SCORING,0.296,Conversion,0.189,headShotsOnTargetPct,0.248,0,
4,M,SCORING,0.296,Conversion,0.189,goalsShotsRatio,0.088,0,
4,M,SCORING,0.296,Conversion,0.189,goalsShotsOnTargetRatio,0.051,0,
4,M,SCORING,0.296,Positioning,0,passesToFinalThird90,0.315,0,
4,M,SCORING,0.296,Positioning,0,progressiveRun90,0.224,0,
4,M,SCORING,0.296,Positioning,0,touchInBox90,0.198,0,
4,M,SCORING,0.296,Positioning,0,passesToFinalThirdRatio,0.172,0,
4,M,SCORING,0.296,Positioning,0,touchInBoxReceivedPassRatio,0.092,0,
4,M,CREATING,0.252,Assists,0.419,assists90,0.388,0,
4,M,CREATING,0.252,Assists,0.419,secondAssists90,0.144,0,
4,M,CREATING,0.252,Assists,0.419,shotAssists90,0.143,0,
4,M,CREATING,0.252,Assists,0.419,shotOnTargetAssists90,0.119,0,
4,M,CREATING,0.252,Assists,0.419,thirdAssists90,0.099,0,
4,M,CREATING,0.252,Assists,0.419,xgAssist90,0.067,0,
4,M,CREATING,0.252,Assists,0.419,successfulShotAssistsPct,0.041,0,
4,M,CREATING,0.252,Assists,0.419,assistsPassesRatio,0,0,
4,M,CREATING,0.252,Crossing,0.279,crosses90,0.463,0,
4,M,CREATING,0.252,Crossing,0.279,successfulCrosses90,0.286,0,
4,M,CREATING,0.252,Crossing,0.279,crossesPassesRatio,0.189,0,
4,M,CREATING,0.252,Crossing,0.279,successfulCrossesPct,0.063,0,
4,M,CREATING,0.252,Dribbling,0.176,dribbles90,0.352,0,
4,M,CREATING,0.252,Dribbling,0.176,foulsSuffered90,0.208,0,
4,M,CREATING,0.252,Dribbling,0.176,successfulDribbles90,0.162,0,
4,M,CREATING,0.252,Dribbling,0.176,successfulDribblesPct,0.149,0,
4,M,CREATING,0.252,Dribbling,0.176,dribblesPassesRatio,0.116,0,
4,M,CREATING,0.252,Dribbling,0.176,offensiveDuelsWonPct,0.013,0,
4,M,CREATING,0.252,Comb Play,0.126,dangerousOwnHalfLosses90,0.317,1,
4,M,CREATING,0.252,Comb Play,0.126,linkupPlays90,0.181,0,
4,M,CREATING,0.252,Comb Play,0.126,missedBalls90,0.169,1,
4,M,CREATING,0.252,Comb Play,0.126,progressivePasses90,0.164,0,
4,M,CREATING,0.252,Comb Play,0.126,smartPasses90,0.152,0,
4,M,CREATING,0.252,Comb Play,0.126,successfulLinkupPlays90,0.017,0,
4,M,PASSING,0.247,Involvement,0.527,passes90,0.632,0,
4,M,PASSING,0.247,Involvement,0.527,receivedPass90,0.338,0,
4,M,PASSING,0.247,Involvement,0.527,receivedPassRatio,0.029,0,
4,M,PASSING,0.247,Accuracy,0.243,ballLosses90,0.27,1,
4,M,PASSING,0.247,Accuracy,0.243,ownHalfLosses90,0.168,1,
4,M,PASSING,0.247,Accuracy,0.243,successfulKeyPassesPct,0.143,0,
4,M,PASSING,0.247,Accuracy,0.243,successfulLongPassesPct,0.138,0,
4,M,PASSING,0.247,Accuracy,0.243,successfulPassesPct,0.115,0,
4,M,PASSING,0.247,Accuracy,0.243,successfulPassesToFinalThirdPct,0.091,0,
4,M,PASSING,0.247,Accuracy,0.243,successfulProgressivePassesPct,0.075,0,
4,M,PASSING,0.247,Accuracy,0.243,successfulSmartPassesPct,0,0,
4,M,PASSING,0.247,Accuracy,0.243,successfulThroughPassesPct,0,0,
4,M,PASSING,0.247,Accuracy,0.243,successfulVerticalPassesPct,0,0,
4,M,PASSING,0.247,Direction,0.124,backPassesPct,0.5,1,
4,M,PASSING,0.247,Direction,0.124,forwardPassesPct,0.254,0,
4,M,PASSING,0.247,Direction,0.124,lateralPassesPct,0.245,1,
4,M,PASSING,0.247,Intent,0.106,attackingActions90,0.255,0,
4,M,PASSING,0.247,Intent,0.106,successfulAttackingActions90,0.245,0,
4,M,PASSING,0.247,Intent,0.106,successfulAttackingActionsPct,0.148,0,
4,M,PASSING,0.247,Intent,0.106,keyPasses90,0.138,0,
4,M,PASSING,0.247,Intent,0.106,keyPassesRatio,0.116,0,
4,M,PASSING,0.247,Intent,0.106,longPassLength,0.054,0,
4,M,PASSING,0.247,Intent,0.106,longPasses90,0.043,0,
4,M,PASSING,0.247,Intent,0.106,throughPasses90,0,0,
4,M,DEFENDING,0.204,Aerial,0.572,aerialDuels90,0.907,0,
4,M,DEFENDING,0.204,Aerial,0.572,aerialDuelsWon90,0.093,0,
4,M,DEFENDING,0.204,Aerial,0.572,aerialDuelsWonPct,0,0,
4,M,DEFENDING,0.204,On Ball,0.314,defensiveActions90,0.313916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,successfulDefensiveAction90,0.146916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,successfulDefensiveActionPct,0.126916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,defensiveDuels90,0.095916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,defensiveDuelsWon90,0.073916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,defensiveDuelsWonPct,0.072916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,dribblesAgainst90,0.057916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,dribblesAgainstWon90,0.049916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,dribblesAgainstWonPct,0.032916667,0,
4,M,DEFENDING,0.204,On Ball,0.314,pressingDuels90,0.027916667,0,
